DATE,SHARE_CODE,ISSUER_NAME,INVESTOR_NAME,INVESTOR_TYPE,LOCAL_FOREIGN,NATIONALITY,DOMICILE,HOLDINGS_SCRIPLESS,HOLDINGS_SCRIP,TOTAL_HOLDING_SHARES,PERCENTAGE,ISSUER_NAME_CLEAN,INVESTOR_NAME_CLEAN,SOURCE_DATE_STR
2026-02-27,ENVY,ENVY TECHNOLOGIES INDONESIA Tbk,WG CAPITAL LTD.,CP,F,,BAHAMAS,108157000,0,108157000,6.01,Envy Technologies Indonesia,Wg Capital,2026-03-10
2026-02-27,ENVY,ENVY TECHNOLOGIES INDONESIA Tbk,HISATA KAZUHIRO,ID,F,JAPANESE,JAPAN,77000000,0,77000000,4.28,Envy Technologies Indonesia,Hisata Kazuhiro,2026-03-10
2026-02-27,ENVY,ENVY TECHNOLOGIES INDONESIA Tbk,DOLIANO MOZANNA SIREGAR,ID,D,INDONESIAN,INDONESIA,40658200,0,40658200,2.26,Envy Technologies Indonesia,Doliano Mozanna Siregar,2026-03-10
2026-02-27,ENVY,ENVY TECHNOLOGIES INDONESIA Tbk,UOB KAY HIAN PRIVATE LIMITED,SC,F,,SINGAPORE,40270000,0,40270000,2.24,Envy Technologies Indonesia,Uob Kay Hian Private,2026-03-10
2026-02-27,ENVY,ENVY TECHNOLOGIES INDONESIA Tbk,RIKKY RIDWAN,ID,D,INDONESIAN,INDONESIA,30787700,0,30787700,1.71,Envy Technologies Indonesia,Rikky Ridwan,2026-03-10
2026-02-27,ENVY,ENVY TECHNOLOGIES INDONESIA Tbk,WILLIAM ATAPARY,ID,D,INDONESIAN,INDONESIA,23793100,0,23793100,1.32,Envy Technologies Indonesia,William Atapary,2026-03-10
2026-02-27,ENVY,ENVY TECHNOLOGIES INDONESIA Tbk,DBS BANK LTD.,IB,F,,SINGAPORE,20717400,0,20717400,1.15,Envy Technologies Indonesia,DBS,2026-03-10
2026-02-27,ENZO,MORENZO ABADI PERKASA Tbk,"TRITUNGGAL SUKSES INVESTAMA, PT",CP,D,,INDONESIA,0,1482600000,1482600000,68.56,Morenzo Abadi Perkasa,Tritunggal Sukses Investama,2026-03-10
2026-02-27,ENZO,MORENZO ABADI PERKASA Tbk,"JANTY SETYASTUTY, SH",ID,D,INDONESIAN,INDONESIA,106604400,0,106604400,4.93,Morenzo Abadi Perkasa,Janty Setyastuty,2026-03-10
2026-02-27,ENZO,MORENZO ABADI PERKASA Tbk,"UDUR HOTMAIDA SIAHAAN, S.S",ID,D,INDONESIAN,INDONESIA,106104600,0,106104600,4.91,Morenzo Abadi Perkasa,Udur Hotmaida Siahaan Ss,2026-03-10
